調査ID,地域名,調査日時,天気,記帳者,対象樹種,面積(㎡),斜面位置,斜面方位,傾斜度,緯度,経度,番号,樹種,樹高(m),枝下高(m),胸高直径(cm),異常区分,被害区分,備考
P001,高松市,2026/5/17 12:30~13:30,晴れ,,スギ,400,中部斜面,北東,25,34.364769,134.141581,1,スギ,18.5,10.6,22.1,なし,なし,
P001,高松市,2026/5/17 12:30~13:30,晴れ,,スギ,400,中部斜面,北東,25,34.364769,134.141581,2,スギ,15.5,4.4,31.2,なし,なし,
P001,高松市,2026/5/17 12:30~13:30,晴れ,,スギ,400,中部斜面,北東,25,34.364769,134.141581,3,スギ,10.4,7.2,11.0,なし,なし,
P001,高松市,2026/5/17 12:30~13:30,晴れ,,スギ,400,中部斜面,北東,25,34.364769,134.141581,4,スギ,18.3,9.0,24.6,なし,なし,
P001,高松市,2026/5/17 12:30~13:30,晴れ,,スギ,400,中部斜面,北東,25,34.364769,134.141581,5,スギ,29.8,7.1,46.7,なし,なし,
P001,高松市,2026/5/17 12:30~13:30,晴れ,,スギ,400,中部斜面,北東,25,34.364769,134.141581,6,スギ,22.3,13.9,24.3,なし,なし,
P001,高松市,2026/5/17 12:30~13:30,晴れ,,スギ,400,中部斜面,北東,25,34.364769,134.141581,7,スギ,25.7,4.1,20.7,なし,なし,
P001,高松市,2026/5/17 12:30~13:30,晴れ,,スギ,400,中部斜面,北東,25,34.364769,134.141581,8,スギ,17.1,10.2,22.2,なし,なし,
P001,高松市,2026/5/17 12:30~13:30,晴れ,,スギ,400,中部斜面,北東,25,34.364769,134.141581,9,スギ,17.8,3.0,26.6,なし,なし,
P001,高松市,2026/5/17 12:30~13:30,晴れ,,スギ,400,中部斜面,北東,25,34.364769,134.141581,10,OCR_UNREADABLE,OCR_UNREADABLE,OCR_UNREADABLE,OCR_UNREADABLE,OCR_UNREADABLE,OCR_UNREADABLE,
P001,高松市,2026/5/17 12:30~13:30,晴れ,,スギ,400,中部斜面,北東,25,34.364769,134.141581,11,スギ,26.0,14.6,41.0,なし,なし,
P001,高松市,2026/5/17 12:30~13:30,晴れ,,スギ,400,中部斜面,北東,25,34.364769,134.141581,12,スギ,16.3,1.3,15.0,なし,なし,
P001,高松市,2026/5/17 12:30~13:30,晴れ,,スギ,400,中部斜面,北東,25,34.364769,134.141581,13,スギ,19.8,8.1,33.5,なし,なし,
P001,高松市,2026/5/17 12:30~13:30,晴れ,,スギ,400,中部斜面,北東,25,34.364769,134.141581,14,スギ,25.2,6.9,34.5,なし,なし,
P001,高松市,2026/5/17 12:30~13:30,晴れ,,スギ,400,中部斜面,北東,25,34.364769,134.141581,15,スギ,26.9,1.9,10.7,なし,なし,
P001,高松市,2026/5/17 12:30~13:30,晴れ,,スギ,400,中部斜面,北東,25,34.364769,134.141581,16,スギ,17.8,9.3,18.4,なし,なし,
P001,高松市,2026/5/17 12:30~13:30,晴れ,,スギ,400,中部斜面,北東,25,34.364769,134.141581,17,スギ,28.9,11.3,33.5,なし,なし,
P001,高松市,2026/5/17 12:30~13:30,晴れ,,スギ,400,中部斜面,北東,25,34.364769,134.141581,18,スギ,15.1,5.3,39.3,なし,なし,
P001,高松市,2026/5/17 12:30~13:30,晴れ,,スギ,400,中部斜面,北東,25,34.364769,134.141581,19,スギ,18.3,9.4,10.9,なし,なし,
P001,高松市,2026/5/17 12:30~13:30,晴れ,,スギ,400,中部斜面,北東,25,34.364769,134.141581,20,スギ,22.8,7.3,48.4,なし,なし,
P001,高松市,2026/5/17 12:30~13:30,晴れ,,スギ,400,中部斜面,北東,25,34.364769,134.141581,21,スギ,26.7,12.7,29.3,なし,なし,
P001,高松市,2026/5/17 12:30~13:30,晴れ,,スギ,400,中部斜面,北東,25,34.364769,134.141581,22,スギ,12.1,7.3,31.4,なし,なし,
P001,高松市,2026/5/17 12:30~13:30,晴れ,,スギ,400,中部斜面,北東,25,34.364769,134.141581,23,スギ,10.9,7.6,17.0,なし,なし,
P001,高松市,2026/5/17 12:30~13:30,晴れ,,スギ,400,中部斜面,北東,25,34.364769,134.141581,24,スギ,20.8,14.5,17.7,なし,なし,
P001,高松市,2026/5/17 12:30~13:30,晴れ,,スギ,400,中部斜面,北東,25,34.364769,134.141581,25,スギ,9.6,4.7,38.4,なし,なし,
P001,高松市,2026/5/17 12:30~13:30,晴れ,,スギ,400,中部斜面,北東,25,34.364769,134.141581,26,スギ,8.7,5.5,24.5,なし,なし,
P001,高松市,2026/5/17 12:30~13:30,晴れ,,スギ,400,中部斜面,北東,25,34.364769,134.141581,27,スギ,25.0,13.2,24.3,なし,なし,
P001,高松市,2026/5/17 12:30~13:30,晴れ,,スギ,400,中部斜面,北東,25,34.364769,134.141581,28,スギ,10.2,6.1,12.4,なし,なし,
P001,高松市,2026/5/17 12:30~13:30,晴れ,,スギ,400,中部斜面,北東,25,34.364769,134.141581,29,スギ,20.7,1.5,35.7,なし,なし,
P001,高松市,2026/5/17 12:30~13:30,晴れ,,スギ,400,中部斜面,北東,25,34.364769,134.141581,30,スギ,25.9,8.8,34.5,なし,なし,
P002,高松市,2026/5/17 14:10~15:00,曇り,,スギ,400,上部斜面,南,30,34.36303,134.144257,1,スギ,19.1,10.6,33.9,なし,なし,
P002,高松市,2026/5/17 14:10~15:00,曇り,,スギ,400,上部斜面,南,30,34.36303,134.144257,2,スギ,20.4,13.7,26.3,なし,なし,
P002,高松市,2026/5/17 14:10~15:00,曇り,,スギ,400,上部斜面,南,30,34.36303,134.144257,3,スギ,23.7,4.0,15.5,なし,なし,
P002,高松市,2026/5/17 14:10~15:00,曇り,,スギ,400,上部斜面,南,30,34.36303,134.144257,4,スギ,28.2,14.3,24.3,なし,なし,
P002,高松市,2026/5/17 14:10~15:00,曇り,,スギ,400,上部斜面,南,30,34.36303,134.144257,5,スギ,27.0,12.1,53.1,なし,なし,
P002,高松市,2026/5/17 14:10~15:00,曇り,,スギ,400,上部斜面,南,30,34.36303,134.144257,6,スギ,25.9,18.1,29.0,なし,なし,
P002,高松市,2026/5/17 14:10~15:00,曇り,,スギ,400,上部斜面,南,30,34.36303,134.144257,7,スギ,18.5,6.1,39.2,なし,なし,
P002,高松市,2026/5/17 14:10~15:00,曇り,,スギ,400,上部斜面,南,30,34.36303,134.144257,8,スギ,17.4,2.6,17.9,なし,なし,
P002,高松市,2026/5/17 14:10~15:00,曇り,,スギ,400,上部斜面,南,30,34.36303,134.144257,9,スギ,14.1,6.5,25.0,なし,なし,
P002,高松市,2026/5/17 14:10~15:00,曇り,,スギ,400,上部斜面,南,30,34.36303,134.144257,10,OCR_UNREADABLE,OCR_UNREADABLE,OCR_UNREADABLE,OCR_UNREADABLE,OCR_UNREADABLE,OCR_UNREADABLE,
P002,高松市,2026/5/17 14:10~15:00,曇り,,スギ,400,上部斜面,南,30,34.36303,134.144257,11,スギ,15.0,7.3,32.9,なし,なし,
P002,高松市,2026/5/17 14:10~15:00,曇り,,スギ,400,上部斜面,南,30,34.36303,134.144257,12,スギ,18.2,7.5,14.5,なし,なし,
P002,高松市,2026/5/17 14:10~15:00,曇り,,スギ,400,上部斜面,南,30,34.36303,134.144257,13,スギ,20.2,11.0,31.1,なし,なし,
P002,高松市,2026/5/17 14:10~15:00,曇り,,スギ,400,上部斜面,南,30,34.36303,134.144257,14,スギ,27.7,17.2,28.7,なし,なし,
P002,高松市,2026/5/17 14:10~15:00,曇り,,スギ,400,上部斜面,南,30,34.36303,134.144257,15,スギ,17.3,11.4,28.0,なし,なし,
P002,高松市,2026/5/17 14:10~15:00,曇り,,スギ,400,上部斜面,南,30,34.36303,134.144257,16,スギ,16.4,10.3,11.8,なし,なし,
P002,高松市,2026/5/17 14:10~15:00,曇り,,スギ,400,上部斜面,南,30,34.36303,134.144257,17,スギ,14.4,2.5,18.9,なし,なし,
P002,高松市,2026/5/17 14:10~15:00,曇り,,スギ,400,上部斜面,南,30,34.36303,134.144257,18,スギ,12.2,3.9,22.9,なし,なし,
P002,高松市,2026/5/17 14:10~15:00,曇り,,スギ,400,上部斜面,南,30,34.36303,134.144257,19,スギ,22.9,14.2,17.2,なし,なし,
P002,高松市,2026/5/17 14:10~15:00,曇り,,スギ,400,上部斜面,南,30,34.36303,134.144257,20,スギ,21.9,14.2,20.5,なし,なし,
P002,高松市,2026/5/17 14:10~15:00,曇り,,スギ,400,上部斜面,南,30,34.36303,134.144257,21,スギ,11.4,2.2,17.4,なし,なし,
P002,高松市,2026/5/17 14:10~15:00,曇り,,スギ,400,上部斜面,南,30,34.36303,134.144257,22,スギ,21.8,11.7,33.5,なし,なし,
P002,高松市,2026/5/17 14:10~15:00,曇り,,スギ,400,上部斜面,南,30,34.36303,134.144257,23,スギ,29.8,8.2,54.3,なし,なし,
P002,高松市,2026/5/17 14:10~15:00,曇り,,スギ,400,上部斜面,南,30,34.36303,134.144257,24,スギ,14.3,2.3,23.4,なし,なし,
P002,高松市,2026/5/17 14:10~15:00,曇り,,スギ,400,上部斜面,南,30,34.36303,134.144257,25,スギ,16.1,8.4,19.9,なし,なし,
P002,高松市,2026/5/17 14:10~15:00,曇り,,スギ,400,上部斜面,南,30,34.36303,134.144257,26,スギ,20.5,6.6,41.2,なし,なし,
P002,高松市,2026/5/17 14:10~15:00,曇り,,スギ,400,上部斜面,南,30,34.36303,134.144257,27,スギ,23.0,3.7,23.8,なし,なし,
P002,高松市,2026/5/17 14:10~15:00,曇り,,スギ,400,上部斜面,南,30,34.36303,134.144257,28,スギ,25.8,7.9,20.6,なし,なし,
P002,高松市,2026/5/17 14:10~15:00,曇り,,スギ,400,上部斜面,南,30,34.36303,134.144257,29,スギ,15.5,3.8,35.6,なし,なし,
P002,高松市,2026/5/17 14:10~15:00,曇り,,スギ,400,上部斜面,南,30,34.36303,134.144257,30,スギ,15.0,2.3,28.9,なし,なし,
P003,高松市,2026/5/18 9:30~10:30,晴れ,,スギ,200,下部斜面,東,18,34.361749,134.144925,1,スギ,18.2,10.3,21.1,なし,なし,
P003,高松市,2026/5/18 9:30~10:30,晴れ,,スギ,200,下部斜面,東,18,34.361749,134.144925,2,スギ,29.9,9.4,21.1,なし,なし,
P003,高松市,2026/5/18 9:30~10:30,晴れ,,スギ,200,下部斜面,東,18,34.361749,134.144925,3,スギ,13.9,5.0,26.3,なし,なし,
P003,高松市,2026/5/18 9:30~10:30,晴れ,,スギ,200,下部斜面,東,18,34.361749,134.144925,4,スギ,22.9,10.3,23.1,なし,なし,
P003,高松市,2026/5/18 9:30~10:30,晴れ,,スギ,200,下部斜面,東,18,34.361749,134.144925,5,スギ,15.2,9.9,14.0,なし,なし,
P003,高松市,2026/5/18 9:30~10:30,晴れ,,スギ,200,下部斜面,東,18,34.361749,134.144925,6,スギ,20.6,2.8,20.4,なし,なし,
P003,高松市,2026/5/18 9:30~10:30,晴れ,,スギ,200,下部斜面,東,18,34.361749,134.144925,7,スギ,27.4,10.9,38.4,なし,なし,
P003,高松市,2026/5/18 9:30~10:30,晴れ,,スギ,200,下部斜面,東,18,34.361749,134.144925,8,スギ,20.7,10.2,19.1,なし,なし,
P003,高松市,2026/5/18 9:30~10:30,晴れ,,スギ,200,下部斜面,東,18,34.361749,134.144925,9,スギ,24.2,2.3,39.6,なし,なし,
P003,高松市,2026/5/18 9:30~10:30,晴れ,,スギ,200,下部斜面,東,18,34.361749,134.144925,10,OCR_UNREADABLE,OCR_UNREADABLE,OCR_UNREADABLE,OCR_UNREADABLE,OCR_UNREADABLE,OCR_UNREADABLE,
P003,高松市,2026/5/18 9:30~10:30,晴れ,,スギ,200,下部斜面,東,18,34.361749,134.144925,11,スギ,10.6,6.3,11.6,なし,なし,
P003,高松市,2026/5/18 9:30~10:30,晴れ,,スギ,200,下部斜面,東,18,34.361749,134.144925,12,スギ,11.3,5.3,16.9,なし,なし,
P003,高松市,2026/5/18 9:30~10:30,晴れ,,スギ,200,下部斜面,東,18,34.361749,134.144925,13,スギ,27.2,11.8,19.9,なし,なし,
P003,高松市,2026/5/18 9:30~10:30,晴れ,,スギ,200,下部斜面,東,18,34.361749,134.144925,14,スギ,26.7,11.9,25.6,なし,なし,
P003,高松市,2026/5/18 9:30~10:30,晴れ,,スギ,200,下部斜面,東,18,34.361749,134.144925,15,スギ,24.5,5.6,54.4,なし,なし,
P003,高松市,2026/5/18 9:30~10:30,晴れ,,スギ,200,下部斜面,東,18,34.361749,134.144925,16,スギ,20.6,13.4,13.9,なし,なし,
P003,高松市,2026/5/18 9:30~10:30,晴れ,,スギ,200,下部斜面,東,18,34.361749,134.144925,17,スギ,29.4,8.5,55.6,なし,なし,
P003,高松市,2026/5/18 9:30~10:30,晴れ,,スギ,200,下部斜面,東,18,34.361749,134.144925,18,スギ,15.1,5.9,14.0,なし,なし,
P003,高松市,2026/5/18 9:30~10:30,晴れ,,スギ,200,下部斜面,東,18,34.361749,134.144925,19,スギ,17.4,9.2,21.7,なし,なし,
P003,高松市,2026/5/18 9:30~10:30,晴れ,,スギ,200,下部斜面,東,18,34.361749,134.144925,20,スギ,28.2,10.4,59.7,なし,なし,
P003,高松市,2026/5/18 9:30~10:30,晴れ,,スギ,200,下部斜面,東,18,34.361749,134.144925,21,スギ,26.2,4.4,25.9,なし,なし,
P003,高松市,2026/5/18 9:30~10:30,晴れ,,スギ,200,下部斜面,東,18,34.361749,134.144925,22,スギ,28.9,1.4,35.2,なし,なし,
P003,高松市,2026/5/18 9:30~10:30,晴れ,,スギ,200,下部斜面,東,18,34.361749,134.144925,23,スギ,19.7,2.6,47.9,なし,なし,
P003,高松市,2026/5/18 9:30~10:30,晴れ,,スギ,200,下部斜面,東,18,34.361749,134.144925,24,スギ,19.9,6.3,32.1,なし,なし,
P003,高松市,2026/5/18 9:30~10:30,晴れ,,スギ,200,下部斜面,東,18,34.361749,134.144925,25,スギ,14.2,9.9,9.5,なし,なし,
P003,高松市,2026/5/18 9:30~10:30,晴れ,,スギ,200,下部斜面,東,18,34.361749,134.144925,26,スギ,27.3,8.4,58.1,なし,なし,
P003,高松市,2026/5/18 9:30~10:30,晴れ,,スギ,200,下部斜面,東,18,34.361749,134.144925,27,スギ,15.9,10.0,47.3,なし,なし,
P003,高松市,2026/5/18 9:30~10:30,晴れ,,スギ,200,下部斜面,東,18,34.361749,134.144925,28,スギ,17.2,6.1,21.9,なし,なし,
P003,高松市,2026/5/18 9:30~10:30,晴れ,,スギ,200,下部斜面,東,18,34.361749,134.144925,29,スギ,27.3,1.6,51.3,なし,なし,
P003,高松市,2026/5/18 9:30~10:30,晴れ,,スギ,200,下部斜面,東,18,34.361749,134.144925,30,スギ,23.8,14.4,18.9,なし,なし,
